Age,Gender,Education Level,Job Title,Years of Experience,Salary
22.0,Male,Bachelor's,Human Resources Director,18.0,166800.0
45.0,Male,PhD,Customer Service Manager,18.0,260600.0
32.0,Male,Master's,Director of Sales,18.0,202600.0
18.0,Male,Bachelor's,Senior Data Scientist,27.0,174500.0
32.0,Male,Master's,Director of Business Development,18.0,209000.0
32.0,Male,Master's,Junior Social Media Manager,18.0,201300.0
42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0
48.0,Female,Master's,Human Resources Director,20.0,180000.0
32.0,Female,Master's,Senior UX Designer,18.0,199100.0
53.0,Female,PhD,Junior Recruiter,22.0,306000.0
48.0,Female,PhD,Senior Marketing Analyst,22.0,287000.0
28.0,Female,Bachelor's,HR Generalist,18.0,185000.0
41.0,Female,Master's,Director of Marketing,18.0,243300.0
37.0,Male,Master's,Junior Marketing Specialist,18.0,220400.0
29.0,Male,Bachelor's,Account Manager,18.0,198400.0
37.0,Female,Master's,Project Manager,18.0,231400.0
49.0,Female,PhD,Junior Business Development Associate,20.0,285800.0
49.0,Male,PhD,Sales Manager,18.0,279900.0
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0
30.0,Female,Bachelor's,Senior Project Manager,18.0,195300.0
18.0,Female,Bachelor's,Accountant,18.0,150300.0
29.0,Male,Bachelor's,Director of Marketing,18.0,198500.0
28.0,Male,Bachelor's,Project Manager,18.0,185200.0
29.0,Female,Bachelor's,Senior Business Analyst,18.0,192600.0
58.0,Female,PhD,Junior Data Scientist,33.0,371100.0
47.0,Male,Master's,Director of Finance,20.0,170000.0
38.0,Female,Master's,Junior Operations Coordinator,18.0,226300.0
18.0,Male,Bachelor's,Accountant,18.0,141400.0
42.0,Female,Master's,Director of Finance,18.0,248100.0
34.0,Male,Master's,Director of Operations,18.0,215200.0
45.0,Female,PhD,Senior Business Analyst,18.0,263300.0
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
53.0,Male,PhD,Graphic Designer,28.0,330400.0
28.0,Male,Bachelor's,Director of Operations,18.0,188800.0
41.0,Female,Master's,Office Manager,18.0,246300.0
51.0,Male,PhD,Senior Data Scientist,22.0,296300.0
29.0,Female,Bachelor's,Marketing Coordinator,18.0,194300.0
38.0,Female,Master's,Junior Business Development Associate,18.0,234600.0
59.0,Male,PhD,Senior Marketing Manager,32.0,373600.0
59.0,Male,PhD,Senior HR Manager,27.0,350900.0
22.0,Female,Bachelor's,Senior Product Marketing Manager,18.0,160900.0
36.0,Female,Master's,Junior Marketing Coordinator,18.0,218100.0
40.0,Male,Master's,Junior Financial Analyst,18.0,241700.0
18.0,Male,Bachelor's,Social Media Manager,18.0,140400.0
18.0,Male,Bachelor's,Junior Operations Manager,18.0,146000.0
20.0,Female,Bachelor's,HR Generalist,18.0,155000.0
18.0,Female,Bachelor's,Director of Operations,18.0,148200.0
42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0
51.0,Male,Bachelor's,Sales Director,22.0,180000.0
18.0,Female,Bachelor's,Senior Engineer,18.0,152900.0
44.0,Female,PhD,Project Manager,22.0,271600.0
40.0,Male,Master's,Event Coordinator,18.0,236000.0
42.0,Female,Master's,Senior HR Manager,18.0,247400.0
41.0,Female,Master's,Senior Project Manager,18.0,241800.0
54.0,Female,PhD,Director of Operations,27.0,331200.0
23.0,Female,Bachelor's,Director of Marketing,18.0,172000.0
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
51.0,Female,PhD,Project Engineer,21.0,296000.0
46.0,Female,PhD,Senior Financial Analyst,18.0,266500.0
45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0
26.0,Female,Bachelor's,Senior Business Development Manager,18.0,179600.0
20.0,Male,Bachelor's,Junior Accountant,18.0,155600.0
62.0,Male,PhD,Senior Project Coordinator,35.0,396800.0
18.0,Male,Bachelor's,Data Analyst,18.0,145100.0
24.0,Male,Bachelor's,Director of Operations,18.0,164700.0
29.0,Female,Bachelor's,Principal Engineer,18.0,186200.0
45.0,Male,PhD,Software Developer,18.0,258000.0
38.0,Male,Master's,Junior Research Scientist,18.0,232200.0
36.0,Female,Master's,Senior Software Architect,18.0,221300.0
45.0,Female,PhD,Network Engineer,18.0,257700.0
30.0,Female,Bachelor's,Sales Associate,18.0,196100.0
43.0,Male,PhD,Social Media Specialist,18.0,255200.0
26.0,Female,Bachelor's,Senior Financial Advisor,18.0,176500.0
34.0,Male,Bachelor's,Senior Business Analyst,8.0,90000.0
32.0,Male,Master's,Software Developer,18.0,204300.0
45.0,Male,PhD,Director of Operations,18.0,262100.0
25.0,Female,Bachelor's,Junior Business Analyst,18.0,176800.0
38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0
65.0,Female,PhD,Junior Business Analyst,39.0,419600.0
23.0,Female,Bachelor's,Senior Data Analyst,18.0,169800.0
37.0,Female,Master's,Senior Business Analyst,18.0,220700.0
45.0,Male,PhD,Sales Operations Manager,21.0,267700.0
42.0,Male,Master's,Junior Project Manager,18.0,245900.0
50.0,Female,PhD,Junior Marketing Manager,22.0,298900.0
57.0,Female,PhD,Senior Marketing Manager,33.0,369500.0
39.0,Male,Master's,Business Analyst,18.0,235800.0
27.0,Male,Bachelor's,Junior Business Operations Analyst,18.0,188500.0
45.0,Male,PhD,Junior Financial Analyst,18.0,259100.0
43.0,Female,Master's,Software Engineer,18.0,247800.0
49.0,Male,PhD,Junior Project Manager,22.0,296600.0
34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0
44.0,Female,PhD,Junior Social Media Specialist,18.0,252800.0
35.0,Male,Master's,Senior Operations Coordinator,18.0,216100.0
18.0,Male,Bachelor's,Marketing Manager,18.0,142900.0
64.0,Female,PhD,Copywriter,32.0,392300.0
65.0,Female,PhD,Product Manager,39.0,426900.0
33.0,Male,Master's,Junior Business Analyst,18.0,208900.0
48.0,Male,PhD,Senior HR Manager,20.0,278700.0
36.0,Female,Master's,Product Designer,18.0,214700.0
44.0,Female,PhD,Senior HR Manager,18.0,160000.0
18.0,Male,Bachelor's,Senior Marketing Specialist,18.0,143300.0
46.0,Male,PhD,Business Analyst,25.0,289300.0
41.0,Female,Master's,Data Analyst,13.0,80000.0
35.0,Male,Master's,Copywriter,18.0,220200.0
18.0,Male,Bachelor's,Director,18.0,143300.0
30.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
40.0,Male,Master's,Senior Scientist,18.0,238500.0
44.0,Male,PhD,IT Support,18.0,252900.0
36.0,Male,Bachelor's,Sales Manager,9.0,95000.0
41.0,Female,PhD,Senior Marketing Director,17.0,160000.0
18.0,Female,Bachelor's,Digital Marketing Manager,18.0,144400.0
30.0,Male,Bachelor's,Sales Manager,18.0,197800.0
44.0,Female,Master's,Junior Software Developer,18.0,250400.0
31.0,Female,Bachelor's,Customer Service Representative,5.0,45000.0
35.0,Female,Master's,Junior Financial Analyst,18.0,215400.0
37.0,Female,Master's,Junior Software Developer,18.0,222800.0
43.0,Male,PhD,Senior Engineer,17.0,140000.0
54.0,Female,PhD,Director of Operations,21.0,307500.0
28.0,Female,Bachelor's,Director of Human Resources,18.0,186600.0
43.0,Male,PhD,Director of Marketing,18.0,254100.0
26.0,Male,Bachelor's,Senior Financial Manager,18.0,175600.0
23.0,Female,Bachelor's,Senior Marketing Specialist,18.0,170500.0
30.0,Male,Bachelor's,Senior Marketing Analyst,18.0,190500.0
27.0,Female,Bachelor's,Junior Marketing Coordinator,18.0,182000.0
31.0,Male,Bachelor's,Junior Accountant,4.0,50000.0
45.0,Male,PhD,Senior Product Designer,18.0,255100.0
44.0,Female,PhD,Junior Project Manager,19.0,260300.0
51.0,Female,PhD,Senior HR Specialist,24.0,306100.0
36.0,Male,Bachelor's,Senior Business Analyst,8.0,95000.0
38.0,Male,Master's,Creative Director,18.0,228200.0
24.0,Male,Bachelor's,Junior Business Development Associate,18.0,165900.0
46.0,Male,PhD,Digital Marketing Manager,18.0,266200.0
52.0,Female,PhD,Senior Project Manager,20.0,299900.0
65.0,Male,PhD,Senior Financial Analyst,42.0,434700.0
55.0,Female,PhD,Junior Product Manager,27.0,336500.0
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0
39.0,Female,Master's,Business Analyst,18.0,233300.0
52.0,Male,PhD,Chief Technology Officer,24.0,250000.0
33.0,Female,Master's,Sales Director,18.0,206700.0
31.0,Female,Master's,Senior Data Engineer,18.0,205400.0
37.0,Male,Master's,Junior Designer,18.0,219000.0
25.0,Male,Bachelor's,Marketing Manager,18.0,174600.0
45.0,Male,PhD,Senior Manager,15.0,150000.0
45.0,Male,PhD,Senior Engineer,18.0,261900.0
49.0,Female,PhD,Senior Data Scientist,19.0,280900.0
22.0,Female,Bachelor's,Operations Manager,18.0,163500.0
21.0,Male,Bachelor's,Senior HR Manager,18.0,156900.0
49.0,Female,Master's,Director of Human Capital,21.0,180000.0
18.0,Male,Bachelor's,Office Manager,18.0,140800.0
21.0,Male,Bachelor's,IT Support,18.0,155600.0
20.0,Female,Bachelor's,Junior Sales Representative,18.0,156100.0
32.0,Female,Master's,Senior Marketing Specialist,18.0,206200.0
44.0,Female,PhD,Senior Scientist,16.0,140000.0
41.0,Male,Master's,HR Manager,18.0,242400.0
28.0,Female,Bachelor's,Junior Customer Support Specialist,18.0,186200.0
34.0,Female,Master's,UX Designer,5.0,80000.0
50.0,Female,PhD,Junior Operations Analyst,22.0,296900.0
50.0,Male,PhD,Senior Business Analyst,22.0,292300.0
29.0,Female,Bachelor's,Junior Marketing Specialist,18.0,193400.0
25.0,Female,Bachelor's,Director of Finance,18.0,175900.0
38.0,Male,Master's,Senior UX Designer,18.0,221700.0
49.0,Male,PhD,Senior Engineer,19.0,277000.0
22.0,Female,Bachelor's,Business Analyst,18.0,163200.0
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0
34.0,Female,Master's,Senior Product Manager,18.0,213800.0
25.0,Male,Bachelor's,Senior Human Resources Coordinator,18.0,176700.0
32.0,Male,Master's,Senior Operations Coordinator,18.0,212000.0
32.0,Female,Master's,Senior Marketing Manager,18.0,202500.0
46.0,Male,PhD,Senior Software Engineer,21.0,274800.0
33.0,Male,Master's,Business Intelligence Analyst,7.0,85000.0
36.0,Male,Bachelor's,Senior Operations Manager,8.0,95000.0
34.0,Male,Master's,Junior Customer Support Specialist,18.0,217900.0
37.0,Male,Master's,Director of Marketing,18.0,228900.0
38.0,Female,Master's,Principal Engineer,18.0,223100.0
30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0
41.0,Female,Master's,Junior Sales Representative,18.0,246000.0
34.0,Female,Master's,Junior Recruiter,18.0,214700.0
22.0,Male,Bachelor's,Junior Financial Analyst,18.0,155300.0
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0
55.0,Female,PhD,Junior Accountant,28.0,339200.0
62.0,Male,PhD,Junior Social Media Manager,36.0,400700.0
48.0,Male,PhD,VP of Operations,19.0,275800.0
49.0,Female,Master's,Senior HR Manager,19.0,150000.0
39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0
60.0,Male,PhD,Senior Business Development Manager,31.0,377500.0
52.0,Male,PhD,Director of Business Development,20.0,298900.0
33.0,Female,Master's,Senior Financial Manager,18.0,208700.0
41.0,Male,Master's,Strategy Consultant,13.0,130000.0
30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0
48.0,Male,PhD,Principal Engineer,20.0,170000.0
65.0,Male,PhD,Business Development Manager,33.0,393500.0
32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0
31.0,Male,Bachelor's,Junior Marketing Manager,18.0,198100.0
33.0,Male,Master's,Director of Operations,18.0,206200.0
49.0,Male,PhD,Senior Marketing Manager,19.0,279600.0
56.0,Female,PhD,Customer Service Rep,28.0,337000.0
45.0,Female,Master's,Senior HR Manager,14.0,140000.0
32.0,Male,Master's,Senior Business Development Manager,18.0,206000.0
38.0,Male,Master's,Senior Financial Analyst,18.0,227700.0
65.0,Female,PhD,Data Scientist,50.0,466600.0
29.0,Male,Bachelor's,Senior Human Resources Coordinator,18.0,195600.0
37.0,Male,Bachelor's,Senior Marketing Analyst,9.0,100000.0
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
31.0,Female,Bachelor's,Director of Operations,18.0,195600.0
35.0,Male,Master's,Junior Product Manager,18.0,217500.0
33.0,Male,Master's,Senior Financial Manager,18.0,205300.0
29.0,Female,Bachelor's,Senior Operations Analyst,18.0,193700.0
37.0,Female,Master's,Junior Sales Representative,18.0,231300.0
30.0,Male,Bachelor's,Junior Sales Representative,18.0,196400.0
23.0,Male,Bachelor's,Senior Financial Analyst,18.0,170500.0
30.0,Male,Bachelor's,Junior Software Engineer,18.0,198300.0
42.0,Male,Master's,Senior Data Scientist,18.0,240600.0
19.0,Male,Bachelor's,Junior Marketing Coordinator,18.0,144100.0
48.0,Female,Master's,Director of HR,20.0,180000.0
41.0,Male,Master's,Junior Developer,18.0,236900.0
47.0,Male,PhD,Data Analyst,20.0,274100.0
42.0,Male,Master's,HR Manager,18.0,247900.0
21.0,Female,Bachelor's,Human Resources Director,18.0,159300.0
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0
18.0,Female,Bachelor's,Junior Customer Support Specialist,18.0,139500.0
42.0,Male,Master's,Senior Sales Manager,18.0,244000.0
36.0,Male,Master's,Senior Financial Manager,18.0,220900.0
38.0,Male,Master's,Senior Product Manager,18.0,238400.0
45.0,Male,PhD,Operations Manager,21.0,273600.0
19.0,Male,Bachelor's,Senior Project Manager,18.0,146600.0
42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0
50.0,Male,PhD,Sales Representative,23.0,295500.0
41.0,Female,Master's,Sales Associate,18.0,246400.0
22.0,Female,Bachelor's,Junior Software Developer,18.0,166300.0
43.0,Male,Master's,Senior Operations Coordinator,18.0,250300.0
27.0,Female,Bachelor's,HR Manager,18.0,190400.0
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
28.0,Male,Bachelor's,Senior Marketing Analyst,18.0,191900.0
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
51.0,Female,PhD,Junior Financial Analyst,20.0,290000.0
28.0,Male,Bachelor's,Customer Success Manager,2.0,40000.0
31.0,Female,Bachelor's,Junior Marketing Coordinator,18.0,196900.0
28.0,Male,Bachelor's,Junior Project Manager,18.0,183700.0
42.0,Female,Master's,Director of Marketing,18.0,244300.0
36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0
25.0,Female,Bachelor's,Business Development Manager,18.0,173600.0
38.0,Male,PhD,Senior Scientist,10.0,110000.0
19.0,Female,Bachelor's,Junior Data Scientist,18.0,147100.0
52.0,Female,PhD,Director of Human Resources,23.0,312900.0
65.0,Female,PhD,Director of Product Management,44.0,445000.0
46.0,Female,PhD,Senior Data Scientist,18.0,260500.0
42.0,Male,Master's,Senior Marketing Analyst,18.0,249300.0
38.0,Female,Master's,Senior Project Manager,18.0,232300.0
47.0,Female,PhD,Senior Human Resources Specialist,21.0,280300.0
39.0,Female,Master's,Supply Chain Manager,18.0,232700.0
53.0,Male,PhD,Junior Recruiter,20.0,299700.0
41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0
55.0,Female,PhD,Senior Financial Manager,23.0,324700.0
35.0,Male,Master's,Junior Business Analyst,18.0,221100.0
40.0,Female,Master's,Director of Finance,18.0,237200.0
50.0,Female,PhD,Senior Business Analyst,20.0,284900.0
35.0,Female,Master's,Senior Sales Representative,18.0,216900.0
34.0,Female,Master's,Junior Marketing Coordinator,18.0,217900.0
39.0,Female,Master's,Junior Product Manager,18.0,236100.0
54.0,Male,PhD,Junior Operations Analyst,24.0,315600.0
35.0,Female,Master's,Senior Marketing Specialist,18.0,214500.0
35.0,Female,Master's,Senior Data Scientist,18.0,217000.0
23.0,Female,Bachelor's,Senior Marketing Manager,18.0,173200.0
42.0,Male,Master's,Junior UX Designer,18.0,248100.0
37.0,Male,Master's,Senior Marketing Manager,18.0,227900.0
48.0,Male,PhD,Senior Product Manager,18.0,275100.0
36.0,Male,PhD,Principal Scientist,11.0,120000.0
42.0,Male,Master's,Product Designer,18.0,249500.0
40.0,Female,Bachelor's,HR Manager,12.0,80000.0
28.0,Male,Bachelor's,Operations Analyst,18.0,187800.0
51.0,Male,PhD,Administrative Assistant,25.0,309900.0
32.0,Female,Master's,Junior Recruiter,18.0,205300.0
35.0,Female,Master's,Senior Operations Manager,18.0,219800.0
55.0,Male,PhD,Senior Project Coordinator,30.0,356900.0
39.0,Male,Master's,Senior HR Manager,18.0,234100.0
51.0,Male,PhD,Senior Marketing Specialist,23.0,307700.0
28.0,Female,Bachelor's,Junior Advertising Coordinator,18.0,184100.0
33.0,Female,Master's,Data Entry Clerk,18.0,204600.0
34.0,Female,Master's,Junior Financial Analyst,18.0,213300.0
40.0,Female,Master's,Product Manager,18.0,244900.0
39.0,Female,Master's,Senior Data Scientist,18.0,237400.0
38.0,Male,Master's,Senior Manager,18.0,227200.0
28.0,Female,Bachelor's,Senior Human Resources Manager,18.0,186600.0
39.0,Male,Master's,Director of Marketing,18.0,234400.0
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0
45.0,Female,PhD,Senior Project Manager,18.0,259000.0
40.0,Female,Master's,Junior Business Analyst,18.0,244300.0
56.0,Male,PhD,Senior Business Analyst,30.0,351900.0
62.0,Male,PhD,Senior Financial Manager,30.0,375700.0
40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0
59.0,Male,PhD,Senior Graphic Designer,31.0,362500.0
45.0,Female,PhD,Recruiter,22.0,277000.0
48.0,Male,Master's,Operations Director,18.0,190000.0
60.0,Female,PhD,Junior HR Coordinator,33.0,377300.0
43.0,Female,PhD,Director of Operations,18.0,256300.0
55.0,Male,PhD,Director of Sales,28.0,338000.0
65.0,Male,PhD,Director of Sales and Marketing,38.0,423600.0
20.0,Male,Bachelor's,Senior Software Engineer,18.0,158300.0
64.0,Female,PhD,Senior Project Manager,27.0,368100.0
18.0,Female,Bachelor's,Junior Web Developer,18.0,143600.0
19.0,Female,Bachelor's,Senior Software Engineer,18.0,156900.0
30.0,Female,Bachelor's,Director of Sales,18.0,187700.0
24.0,Female,Bachelor's,Director of Human Resources,18.0,167500.0
40.0,Female,Bachelor's,Senior Sales Representative,12.0,100000.0
45.0,Male,PhD,Digital Marketing Manager,18.0,258500.0
48.0,Female,PhD,Junior Copywriter,25.0,296400.0
22.0,Female,Bachelor's,Chief Technology Officer,18.0,155500.0
44.0,Female,PhD,Sales Associate,18.0,255500.0
41.0,Female,Master's,Senior HR Manager,18.0,235800.0
36.0,Female,Master's,Senior Data Engineer,18.0,223200.0
49.0,Male,PhD,Director of Operations,21.0,180000.0
54.0,Female,PhD,Product Manager,22.0,315400.0
30.0,Male,Bachelor's,Junior Product Manager,18.0,191900.0
41.0,Male,Master's,Director of HR,18.0,237400.0
30.0,Female,Bachelor's,Senior Data Analyst,18.0,197600.0
27.0,Male,Bachelor's,Junior Marketing Coordinator,18.0,188900.0
21.0,Male,Bachelor's,Senior Business Development Manager,18.0,158100.0
44.0,Male,PhD,Director of Operations,18.0,255300.0
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
34.0,Male,Master's,Senior Data Scientist,18.0,213300.0
38.0,Female,Master's,Senior Operations Analyst,18.0,231400.0
39.0,Female,Master's,Event Coordinator,18.0,233100.0
21.0,Female,Bachelor's,Junior Recruiter,18.0,158800.0
52.0,Male,Master's,Director,20.0,200000.0
19.0,Male,Bachelor's,Chief Data Officer,18.0,146200.0
36.0,Female,Bachelor's,Recruiter,9.0,60000.0
46.0,Male,PhD,HR Generalist,18.0,262800.0
30.0,Female,Bachelor's,Junior Operations Coordinator,2.0,40000.0
31.0,Male,Master's,Junior Marketing Manager,18.0,198700.0
25.0,Male,Bachelor's,Help Desk Analyst,0.0,35000.0
27.0,Female,Bachelor's,Director,18.0,183200.0
30.0,Female,Bachelor's,Junior Developer,18.0,196500.0
59.0,Female,PhD,Director of Finance,30.0,360900.0
45.0,Female,PhD,Junior Data Scientist,18.0,258200.0
26.0,Female,Bachelor's,Senior Project Manager,18.0,180700.0
37.0,Male,Master's,Recruiter,18.0,225900.0
24.0,Male,Bachelor's,Junior Developer,1.0,40000.0
37.0,Male,Master's,Senior Human Resources Coordinator,18.0,228300.0
35.0,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0
18.0,Female,Bachelor's,Senior Marketing Specialist,18.0,146800.0
18.0,Female,Bachelor's,Junior Project Manager,18.0,148700.0
40.0,Male,Master's,Junior Business Analyst,18.0,238600.0
18.0,Male,Bachelor's,Sales Manager,18.0,142700.0
39.0,Male,Master's,Senior Marketing Analyst,18.0,236600.0
50.0,Male,PhD,Senior Data Scientist,23.0,298600.0
34.0,Male,Master's,Junior Operations Analyst,18.0,217200.0
46.0,Female,PhD,Director of Engineering,21.0,275200.0
36.0,Female,Master's,Director of Human Capital,18.0,227100.0
28.0,Female,Bachelor's,Software Manager,18.0,175200.0
44.0,Female,PhD,Senior Product Designer,15.0,150000.0
32.0,Male,Bachelor's,Junior Business Development Associate,18.0,197700.0
53.0,Female,PhD,Operations Manager,27.0,325700.0
34.0,Female,Master's,Senior Business Analyst,18.0,217400.0
46.0,Male,PhD,Technical Recruiter,18.0,261800.0
38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0
31.0,Female,Bachelor's,Sales Manager,18.0,195500.0
29.0,Male,Master's,Software Developer,3.0,75000.0
34.0,Male,Master's,Senior Product Designer,18.0,215300.0
33.0,Male,Master's,Senior Human Resources Manager,18.0,212400.0
32.0,Female,Master's,Junior Marketing Manager,18.0,200400.0
46.0,Female,PhD,Senior Data Scientist,18.0,264600.0
25.0,Female,Bachelor's,Senior Marketing Manager,18.0,170100.0
21.0,Female,Bachelor's,Copywriter,18.0,156200.0
38.0,Male,Master's,Senior Project Coordinator,18.0,229300.0
21.0,Female,Bachelor's,Director of Finance,18.0,159000.0
65.0,Male,PhD,Senior Product Development Manager,37.0,414800.0
65.0,Male,PhD,Senior Sales Manager,46.0,451200.0
49.0,Female,PhD,Junior Business Development Associate,21.0,288200.0
46.0,Male,PhD,Customer Success Manager,18.0,260900.0
44.0,Male,PhD,Senior Human Resources Manager,18.0,260600.0
31.0,Female,Bachelor's,Event Coordinator,5.0,45000.0
18.0,Female,Bachelor's,Customer Success Manager,18.0,144500.0
44.0,Female,Master's,Junior Social Media Specialist,18.0,248700.0
18.0,Male,Bachelor's,Junior Marketing Specialist,18.0,148400.0
34.0,Male,Master's,Content Marketing Manager,18.0,215100.0
55.0,Female,PhD,Junior Marketing Analyst,25.0,326400.0
23.0,Female,Bachelor's,Junior HR Generalist,18.0,169000.0
51.0,Female,PhD,Marketing Specialist,21.0,294600.0
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
25.0,Male,Bachelor's,Director of Operations,18.0,173200.0
27.0,Female,Bachelor's,HR Generalist,18.0,188600.0
65.0,Female,PhD,Senior Software Engineer,38.0,418600.0
25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0
65.0,Female,PhD,Business Analyst,35.0,411600.0
20.0,Female,Bachelor's,Junior Operations Analyst,18.0,155600.0
40.0,Male,Master's,Senior IT Consultant,18.0,236300.0
57.0,Female,PhD,Senior Manager,28.0,349000.0
25.0,Female,Bachelor's,Chief Data Officer,18.0,174600.0
30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0
60.0,Female,PhD,Junior Marketing Specialist,30.0,360800.0
36.0,Male,Master's,Senior Sales Manager,18.0,218100.0
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0
33.0,Male,Master's,Chief Data Officer,18.0,203900.0
23.0,Male,Bachelor's,Senior Sales Manager,18.0,167200.0
18.0,Female,Bachelor's,Senior Business Analyst,18.0,145800.0
33.0,Female,Master's,Junior Customer Support Specialist,18.0,208200.0
18.0,Female,Bachelor's,Junior Financial Analyst,18.0,143300.0
35.0,Male,Master's,Senior Financial Analyst,18.0,221400.0
50.0,Female,Master's,Director of Finance,20.0,180000.0
37.0,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0
20.0,Female,Bachelor's,Senior Data Scientist,18.0,149300.0
36.0,Female,Master's,Junior Marketing Coordinator,18.0,221600.0
24.0,Female,Bachelor's,Data Analyst,18.0,169200.0
29.0,Female,Bachelor's,Junior Marketing Analyst,2.0,40000.0
50.0,Male,PhD,Director of Marketing,23.0,304300.0
48.0,Male,PhD,Junior Business Development Associate,20.0,279300.0
27.0,Female,Master's,UX Researcher,2.0,65000.0
46.0,Female,PhD,Junior Social Media Specialist,18.0,259100.0
33.0,Male,Master's,Event Coordinator,18.0,207500.0
36.0,Male,Bachelor's,IT Support Specialist,7.0,60000.0
18.0,Male,Bachelor's,Senior Sales Manager,18.0,148800.0
37.0,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0
34.0,Female,Master's,Senior Project Coordinator,18.0,211900.0
61.0,Female,PhD,Senior HR Manager,29.0,371600.0
39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0
22.0,Female,Bachelor's,Junior Designer,18.0,163600.0
21.0,Male,Bachelor's,Junior Business Development Associate,18.0,154200.0
42.0,Female,Master's,Creative Director,14.0,120000.0
35.0,Male,Master's,Product Manager,7.0,105000.0
42.0,Female,Master's,Creative Director,18.0,248600.0
29.0,Female,Bachelor's,Marketing Specialist,18.0,190900.0
46.0,Male,PhD,Senior Manager,18.0,264500.0
19.0,Male,Bachelor's,Senior Business Analyst,18.0,155000.0
26.0,Male,Bachelor's,Senior Marketing Analyst,18.0,178600.0
44.0,Male,PhD,Director of HR,18.0,254700.0
49.0,Female,PhD,CEO,20.0,290500.0
61.0,Female,PhD,Account Manager,31.0,379500.0
48.0,Female,Bachelor's,HR Manager,18.0,140000.0
37.0,Male,Master's,Senior Marketing Manager,18.0,221400.0
33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0
51.0,Female,PhD,Senior Sales Representative,23.0,302900.0
65.0,Male,PhD,Senior Project Manager,45.0,446100.0
37.0,Female,Master's,Software Manager,11.0,110000.0
28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0
27.0,Male,Bachelor's,Senior Financial Analyst,18.0,181500.0
24.0,Male,Bachelor's,Junior Account Manager,18.0,169600.0
38.0,Female,Bachelor's,Senior Product Manager,10.0,120000.0
39.0,Male,Master's,Senior Data Analyst,18.0,232100.0
47.0,Female,PhD,Senior Financial Manager,21.0,281200.0
65.0,Female,PhD,Senior Project Coordinator,46.0,456300.0
29.0,Female,Bachelor's,Project Manager,18.0,189800.0
55.0,Male,PhD,Senior Operations Manager,25.0,331100.0
54.0,Male,PhD,Junior Operations Analyst,28.0,337500.0
39.0,Female,Bachelor's,Recruiter,11.0,70000.0
37.0,Female,Master's,Senior Financial Analyst,18.0,225700.0
25.0,Female,Bachelor's,Training Specialist,18.0,177700.0
32.0,Female,Master's,Public Relations Manager,18.0,204100.0
20.0,Male,Bachelor's,Junior Sales Representative,18.0,156500.0
45.0,Female,PhD,Senior Product Designer,15.0,150000.0
56.0,Female,PhD,Senior Scientist,25.0,333800.0
38.0,Female,Master's,Senior Software Engineer,18.0,229000.0
34.0,Female,Master's,Junior Account Manager,18.0,210400.0
46.0,Female,PhD,Senior Project Manager,18.0,266400.0
36.0,Male,Master's,Senior Marketing Specialist,18.0,222900.0
24.0,Female,Bachelor's,Senior Product Designer,18.0,169400.0
40.0,Male,Master's,Product Manager,18.0,236400.0
32.0,Male,Master's,Senior Sales Manager,18.0,207700.0
32.0,Female,Master's,Technical Support Specialist,18.0,204800.0
